depth	min	max	median	mean
0	2018.5	2018.5	2018.5	2018.5
1	2017.2	2017.4	2017.3	2017.3
2	2015.5	2015.9	2015.7	2015.7
3	2013.5	2014.1	2013.8	2013.8
4	2011.6	2012.3	2012	2012
5	2009.4	2010.3	2009.9	2009.9
6	2006.9	2008.1	2007.5	2007.5
7	2004.4	2005.7	2005	2005
8	2001.7	2003.3	2002.4	2002.4
9	1999.1	2000.9	2000	2000
10	1996.3	1998.4	1997.2	1997.3
11	1993.9	1996.2	1994.9	1995
12	1991.3	1993.9	1992.5	1992.5
13	1988.7	1991.5	1989.9	1990
14	1986	1989.2	1987.5	1987.5
15	1983.1	1986.6	1984.6	1984.7
16	1980.4	1984.3	1982.1	1982.2
17	1977.3	1981.8	1979.3	1979.4
18	1974	1979	1976.2	1976.3
19	1970.8	1976.3	1973.2	1973.3
20	1966.2	1972.5	1969	1969.1
21	1958.4	1965.5	1961.3	1961.4
22	1945.5	1955.3	1949.3	1949.6
23	1926.4	1941.8	1931.6	1932.3
24	1897.9	1926.8	1908.1	1909.4
25	1874.6	1919.6	1892.7	1894
26	1854.1	1915.5	1882.6	1883.5
27	1827.3	1912.6	1874	1873.1
